year,month,date,series,value
1956,1,1956-01-01,Oil And Gas Closing Quotations,485.02
1956,1,1956-01-01,Metals And Minerals Closing Quotations,729.73
1956,1,1956-01-01,Utilities Closing Quotations,914.11
1956,1,1956-01-01,Paper And Forest Products Closing Quotations,1013.23
1956,1,1956-01-01,Merchandising Closing Quotations,229.4
1956,1,1956-01-01,Financial Services Closing Quotations,363.67
1956,1,1956-01-01,Gold And Silver Closing Quotations,259.38
1956,2,1956-02-01,Oil And Gas Closing Quotations,515.96
1956,2,1956-02-01,Metals And Minerals Closing Quotations,758.44
1956,2,1956-02-01,Utilities Closing Quotations,938.13
1956,2,1956-02-01,Paper And Forest Products Closing Quotations,1059.36
1956,2,1956-02-01,Merchandising Closing Quotations,236.23
1956,2,1956-02-01,Financial Services Closing Quotations,372.15
1956,2,1956-02-01,Gold And Silver Closing Quotations,255.35
1956,3,1956-03-01,Oil And Gas Closing Quotations,569.18
1956,3,1956-03-01,Metals And Minerals Closing Quotations,849.49
1956,3,1956-03-01,Utilities Closing Quotations,917.96
1956,3,1956-03-01,Paper And Forest Products Closing Quotations,1131.37
1956,3,1956-03-01,Merchandising Closing Quotations,258.82
1956,3,1956-03-01,Financial Services Closing Quotations,403.04
1956,3,1956-03-01,Gold And Silver Closing Quotations,260.99
1956,4,1956-04-01,Oil And Gas Closing Quotations,560.76
1956,4,1956-04-01,Metals And Minerals Closing Quotations,864.67
1956,4,1956-04-01,Utilities Closing Quotations,884.8
1956,4,1956-04-01,Paper And Forest Products Closing Quotations,1161.66
1956,4,1956-04-01,Merchandising Closing Quotations,247.2
1956,4,1956-04-01,Financial Services Closing Quotations,391.9
1956,4,1956-04-01,Gold And Silver Closing Quotations,253.71
1956,5,1956-05-01,Oil And Gas Closing Quotations,559.8
1956,5,1956-05-01,Metals And Minerals Closing Quotations,829.88
1956,5,1956-05-01,Utilities Closing Quotations,875.14
1956,5,1956-05-01,Paper And Forest Products Closing Quotations,1086.84
1956,5,1956-05-01,Merchandising Closing Quotations,244.23
1956,5,1956-05-01,Financial Services Closing Quotations,366.23
1956,5,1956-05-01,Gold And Silver Closing Quotations,256.37
1956,6,1956-06-01,Oil And Gas Closing Quotations,601.08
1956,6,1956-06-01,Metals And Minerals Closing Quotations,864.79
1956,6,1956-06-01,Utilities Closing Quotations,862.22
1956,6,1956-06-01,Paper And Forest Products Closing Quotations,1075.08
1956,6,1956-06-01,Merchandising Closing Quotations,245.59
1956,6,1956-06-01,Financial Services Closing Quotations,367.53
1956,6,1956-06-01,Gold And Silver Closing Quotations,253.32
1956,7,1956-07-01,Oil And Gas Closing Quotations,671.66
1956,7,1956-07-01,Metals And Minerals Closing Quotations,918.39
1956,7,1956-07-01,Utilities Closing Quotations,906.89
1956,7,1956-07-01,Paper And Forest Products Closing Quotations,1109.59
1956,7,1956-07-01,Merchandising Closing Quotations,286.95
1956,7,1956-07-01,Financial Services Closing Quotations,408.37
1956,7,1956-07-01,Gold And Silver Closing Quotations,256.29
1956,8,1956-08-01,Oil And Gas Closing Quotations,654.44
1956,8,1956-08-01,Metals And Minerals Closing Quotations,900.65
1956,8,1956-08-01,Utilities Closing Quotations,898.64
1956,8,1956-08-01,Paper And Forest Products Closing Quotations,1041.12
1956,8,1956-08-01,Merchandising Closing Quotations,279.37
1956,8,1956-08-01,Financial Services Closing Quotations,395.8
1956,8,1956-08-01,Gold And Silver Closing Quotations,247.76
1956,9,1956-09-01,Oil And Gas Closing Quotations,619.8
1956,9,1956-09-01,Metals And Minerals Closing Quotations,834.63
1956,9,1956-09-01,Utilities Closing Quotations,863.41
1956,9,1956-09-01,Paper And Forest Products Closing Quotations,931.81
1956,9,1956-09-01,Merchandising Closing Quotations,259.67
1956,9,1956-09-01,Financial Services Closing Quotations,378.11
1956,9,1956-09-01,Gold And Silver Closing Quotations,234.71
1956,10,1956-10-01,Oil And Gas Closing Quotations,601.36
1956,10,1956-10-01,Metals And Minerals Closing Quotations,815.58
1956,10,1956-10-01,Utilities Closing Quotations,858
1956,10,1956-10-01,Paper And Forest Products Closing Quotations,922.46
1956,10,1956-10-01,Merchandising Closing Quotations,247.94
1956,10,1956-10-01,Financial Services Closing Quotations,372.85
1956,10,1956-10-01,Gold And Silver Closing Quotations,229.08
1956,11,1956-11-01,Oil And Gas Closing Quotations,580.74
1956,11,1956-11-01,Metals And Minerals Closing Quotations,753.35
1956,11,1956-11-01,Utilities Closing Quotations,835.83
1956,11,1956-11-01,Paper And Forest Products Closing Quotations,834.86
1956,11,1956-11-01,Merchandising Closing Quotations,235.01
1956,11,1956-11-01,Financial Services Closing Quotations,355.77
1956,11,1956-11-01,Gold And Silver Closing Quotations,209.53
1956,12,1956-12-01,Oil And Gas Closing Quotations,614.34
1956,12,1956-12-01,Metals And Minerals Closing Quotations,827.3
