year,month,date,financial services,gold and silver,merchandising,metals and minerals,oil and gas,paper and forest products,utilities
1956,1,1956-01-01,363.67,259.38,229.4,729.73,485.02,1013.23,914.11
1956,2,1956-02-01,372.15,255.35,236.23,758.44,515.96,1059.36,938.13
1956,3,1956-03-01,403.04,260.99,258.82,849.49,569.18,1131.37,917.96
1956,4,1956-04-01,391.9,253.71,247.2,864.67,560.76,1161.66,884.8
1956,5,1956-05-01,366.23,256.37,244.23,829.88,559.8,1086.84,875.14
1956,6,1956-06-01,367.53,253.32,245.59,864.79,601.08,1075.08,862.22
1956,7,1956-07-01,408.37,256.29,286.95,918.39,671.66,1109.59,906.89
1956,8,1956-08-01,395.8,247.76,279.37,900.65,654.44,1041.12,898.64
1956,9,1956-09-01,378.11,234.71,259.67,834.63,619.8,931.81,863.41
1956,10,1956-10-01,372.85,229.08,247.94,815.58,601.36,922.46,858
1956,11,1956-11-01,355.77,209.53,235.01,753.35,580.74,834.86,835.83
1956,12,1956-12-01,383.19,216.92,247.48,827.3,614.34,890.29,879.31
1957,1,1957-01-01,391.66,227.52,253.4,827.17,618.16,865.97,879.51
1957,2,1957-02-01,357.93,217.48,242.69,792.45,597.26,815.63,874.73
1957,3,1957-03-01,367.2,213.35,240.6,827.23,625.79,845.47,877.35
1957,4,1957-04-01,374.05,211.19,263.76,879.75,669.66,842.1,879.58
1957,5,1957-05-01,387.75,202.88,286.34,868.13,726.75,850.96,887.53
1957,6,1957-06-01,383,203.41,274.22,851.08,711.46,868.73,847.17
1957,7,1957-07-01,378.43,201.06,238.57,822.62,700.55,791.05,837.57
1957,8,1957-08-01,351.19,212.74,267.5,708.26,628.61,738.81,804.77
1957,9,1957-09-01,330.35,219.18,242.48,660.96,546.35,701.5,778.55
1957,10,1957-10-01,323.04,197.32,246.59,594.37,491.76,662.81,765.94
1957,11,1957-11-01,337.62,199.01,256.72,593.84,510.08,679.46,793.29
1957,12,1957-12-01,318.55,202.8,266.48,556.99,452.38,642.64,784.89
1958,1,1958-01-01,327.58,229.25,273,574.25,472.52,681.33,813.87
1958,2,1958-02-01,330.06,256.75,271.14,556.95,450.09,682.47,830.71
1958,3,1958-03-01,330.21,253.78,289.27,578.91,472.37,684.45,827.94
1958,4,1958-04-01,340.65,274.01,303.67,555.85,471.14,672.02,819.84
1958,5,1958-05-01,357.24,277.83,326.8,573.94,497.01,687.42,823.8
1958,6,1958-06-01,371.59,264.62,345.24,587.32,513.83,715.26,829.98
1958,7,1958-07-01,383.81,256.61,369.52,626.81,527.5,768.24,840.74
1958,8,1958-08-01,387.9,266.86,371.06,626.13,524.94,810.99,858.66
1958,9,1958-09-01,406.61,251.44,389.64,655.22,543.6,813.64,857.64
1958,10,1958-10-01,421.08,245.5,404.3,691.64,509.29,870.33,842.98
1958,11,1958-11-01,434.91,271.35,441.52,673.74,500.17,881.99,851.31
1958,12,1958-12-01,434.6,313.51,455.04,688.51,510.49,857.84,843.64
1959,1,1959-01-01,434.3,306.18,480.5,696.59,528.38,906.7,857.83
1959,2,1959-02-01,448.04,299.4,495.77,691.14,505.47,975.43,888.32
1959,3,1959-03-01,462.04,286.18,520.72,684.96,497.46,933.4,849.73
1959,4,1959-04-01,476.37,296.4,500.99,669.21,509.02,919.41,874.74
1959,5,1959-05-01,484.11,318.87,481.24,683.4,475.42,881.59,885.45
1959,6,1959-06-01,479.69,318.56,449.08,710.23,464.45,946.4,880.8
1959,7,1959-07-01,510.83,312.32,473.47,748.59,470.96,937.16,913.86
1959,8,1959-08-01,475.87,308.5,435.12,711.28,450.75,890.47,875.41
1959,9,1959-09-01,464.97,314.93,416.06,673.53,408.88,853.48,857.72
1959,10,1959-10-01,447.25,313.53,379.19,683.35,411.65,835.81,857.23
1959,11,1959-11-01,442.86,326.55,387.19,685.44,386.06,861.39,870.59
1959,12,1959-12-01,447.82,342.44,383.23,722.57,407.06,896.95,880.19
1960,1,1960-01-01,421.79,335.98,365.01,687.48,387.25,824.91,871.33
1960,2,1960-02-01,403.55,349.72,343.41,677.61,358.77,803.67,872.81
1960,3,1960-03-01,398.39,361.68,349.37,675.54,369.14,801.69,883.8
1960,4,1960-04-01,391.85,291.57,360.99,660.43,340.08,798.09,888.07
1960,5,1960-05-01,408.08,270.84,359.27,704.42,338.1,850.6,892.5
1960,6,1960-06-01,406.68,261.86,359.4,693.73,311.23,793.91,891.22
1960,7,1960-07-01,400.45,270.41,366.8,664.61,311.21,770.35,903.69
1960,8,1960-08-01,440.73,298.94,377.2,700.64,350.09,807.25,946.88
1960,9,1960-09-01,414.64,314.29,366.24,643.84,334.83,764.35,930.58
1960,10,1960-10-01,410.11,361.29,367.3,658.95,322.64,758.06,920.87
1960,11,1960-11-01,425.5,349.97,369.11,700.89,329.47,770.8,943.53
1960,12,1960-12-01,459.22,336.25,400.58,733.88,350.31,824.11,974.79
1961,1,1961-01-01,475.73,337.66,432.6,789.17,376.67,857.35,1004.25
1961,2,1961-02-01,485.46,305.54,428.68,805.05,410,913.14,1033.24
1961,3,1961-03-01,495.75,289.63,458.02,825.11,422.11,871.48,1002.52
1961,4,1961-04-01,504.57,304.39,478.67,892.24,433.54,861.65,1063.93
1961,5,1961-05-01,510.51,300.5,476.94,914.37,431.79,855.54,1107.36
1961,6,1961-06-01,522.45,302.4,486.69,928.79,407.14,941.88,1097.22
1961,7,1961-07-01,536.76,336.18,489.58,960.88,408.16,930.13,1102.17
1961,8,1961-08-01,548.64,355.01,505.35,953.59,427.38,950.39,1106.9
1961,9,1961-09-01,537.8,327.58,488.1,924.11,423.43,926.68,1120.33
1961,10,1961-10-01,552.86,336.71,480.1,916.81,427.97,941.1,1152.62
1961,11,1961-11-01,582.34,356.51,455.78,933.57,457.11,955.46,1177.56
1961,12,1961-12-01,587.48,340.93,469.38,974.93,474.04,950.62,1182.56
1962,1,1962-01-01,557.43,322.56,442.78,939.45,470,937.33,1155.82
1962,2,1962-02-01,561.18,321.34,451.41,914.27,479.34,1003.08,1160.45
1962,3,1962-03-01,556.9,310.57,445.57,924.04,460.63,1027.29,1152.55
1962,4,1962-04-01,543.09,314.26,432.67,898.89,435.68,1004.46,1126.51
1962,5,1962-05-01,495.72,345.5,400.87,808.73,403.03,947.45,1047.89
1962,6,1962-06-01,455.52,369.25,381.99,745.11,383.97,907.47,1010.49
1962,7,1962-07-01,445.21,355.96,376.44,795.28,394.15,903.41,1013.38
1962,8,1962-08-01,462.47,354.01,397.42,792.73,409.3,943.1,1041.95
1962,9,1962-09-01,453.24,344.09,375.3,722.4,411.24,897.21,992.72
1962,10,1962-10-01,471.25,331.92,374.4,733.89,408.56,890.84,987.27
1962,11,1962-11-01,513.17,321.02,417.47,818.26,412.68,934.74,1031.22
1962,12,1962-12-01,521.83,308.3,420.97,801.54,410.09,916.45,1071.15
1963,1,1963-01-01,533.17,350.71,433.33,855.9,416.47,1002.21,1104.88
1963,2,1963-02-01,506.78,346.73,417.95,802.44,404.65,994.73,1089.26
1963,3,1963-03-01,520.98,362.71,420.73,827.78,416.14,1029.32,1124.21
1963,4,1963-04-01,544.6,336.9,456.35,889.73,421.97,1089.9,1163.06
1963,5,1963-05-01,538.16,345.71,478.09,895.25,442.61,1089.75,1176.41
1963,6,1963-06-01,526.6,353.92,456.61,864.74,408.67,1052.43,1138.12
1963,7,1963-07-01,507.89,361.63,443.77,826.71,410.19,1036.87,1112.54
1963,8,1963-08-01,505.09,380.41,437.91,850.19,411.86,1038.22,1107.55
1963,9,1963-09-01,509.58,364.97,464.31,875.67,426.23,1086.14,1112.89
1963,10,1963-10-01,511.38,331.31,471.93,870.06,426.08,1114.7,1120.83
1963,11,1963-11-01,506.8,320.25,461.13,865.01,420.99,1108.4,1115.62
1963,12,1963-12-01,516.58,333.92,482.28,923.54,425.27,1152.58,1118.17
1964,1,1964-01-01,515.71,319.72,499.4,981.34,442.64,1178.72,1131.07
1964,2,1964-02-01,503.98,339.26,494.59,973.03,435.78,1179.07,1120.34
1964,3,1964-03-01,501.93,344.89,527.91,1040.77,460.35,1221.26,1092.26
1964,4,1964-04-01,518.83,338.02,544.23,1063.31,483.97,1307.29,1107.97
1964,5,1964-05-01,527.64,348.23,562.35,1074.89,504.54,1331.02,1169.41
1964,6,1964-06-01,524.29,341.59,561.27,1056.69,496.4,1342.89,1178.32
1964,7,1964-07-01,548.27,356.95,582.38,1062.94,506.44,1363.64,1195.95
1964,8,1964-08-01,546.21,353.84,582.93,1057.55,506.85,1375.92,1199.08
1964,9,1964-09-01,547.02,394.5,612.98,1139.88,514.02,1438.13,1209.73
1964,10,1964-10-01,549.22,399.15,622.21,1147.3,519.87,1428.21,1245.48
1964,11,1964-11-01,555.4,417.87,617.86,1161.78,519.52,1318.74,1281.14
1964,12,1964-12-01,552.32,485.33,610.67,1149.7,521.51,1343.51,1278.25
1965,1,1965-01-01,581.49,442.06,646.5,1201.57,552.14,1417.06,1328.08
1965,2,1965-02-01,573.43,459.05,647.79,1198.27,538.25,1412.51,1300.09
1965,3,1965-03-01,556.62,463,640.7,1194.55,542.27,1376.43,1281.44
1965,4,1965-04-01,561.18,442.94,642.39,1227.08,569.84,1390.43,1282.49
1965,5,1965-05-01,556.67,447.05,668.11,1254.47,556.1,1345.09,1286.29
1965,6,1965-06-01,515.18,431.33,630.78,1142.87,514.4,1254.45,1239.96
1965,7,1965-07-01,511.53,459.39,627.96,1144.23,507.84,1205.48,1235.66
1965,8,1965-08-01,517.89,461.8,657.93,1168.89,521.71,1191,1254.9
1965,9,1965-09-01,529.4,433.6,679.78,1214.98,519.49,1201.69,1272.13
1965,10,1965-10-01,519.62,434.01,701.07,1277.36,538.16,1128.53,1274.44
1965,11,1965-11-01,502.56,437.23,679.77,1245.51,530.93,1101.04,1247.84
1965,12,1965-12-01,527.9,427.1,688.26,1259.54,540.94,1142.75,1286.57
1966,1,1966-01-01,537.97,474.99,710.17,1347.6,572.39,1192.96,1338.14
